reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,0,1.0,0.1999999999999999,0.15,None,None,None,0.03,0.12,1.0,0.0,1.0,0.0,1.0,0.2,0.15,None,None,None,0.25,0.75,0.65,0.85,0.9,0.1,1,1.1102230246251565e-16,None,None,0.22,0.63,0.35,0.85,0.09999999999999998,0.1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,1,1.0,0.1999999999999999,0.15,None,None,None,0.27,0.29,0.86,0.0,1.0,0.0,2.0,0.182,0.575,None,None,None,0.35,0.8,0.7,0.85,0.95,0.2,0,0.4253810056878421,None,None,0.07999999999999996,0.51,0.16000000000000003,0.85,0.050000000000000044,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,2,2.0,0.182,0.575,3.0,0.495,0.575,0.29,0.2,0.78,0.22,1.0,0.11,3.0,0.495,0.575,3.0,0.495,0.575,0.25,0.7,0.6,0.8,0.85,0.15,0,0.313,1,0.0,0.03999999999999998,0.49999999999999994,0.18000000000000005,0.5800000000000001,0.15000000000000002,0.039999999999999994
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,3,4.0,0.81,0.5715,4.0,0.81,0.5715,0.34,0.3,1.0,0.33,1.0,0.33,3.0,0.495,0.575,3.0,0.495,0.575,0.3,0.75,0.65,0.8,0.85,0.2,0,0.3150194438443444,0,0.3150194438443444,0.040000000000000036,0.45,0.35,0.47000000000000003,0.15000000000000002,0.13
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,4,4.0,0.81,0.5715,4.0,0.81,0.5715,0.35,0.23,0.8,0.5,1.0,0.2,4.0,0.81,0.5715,4.0,0.81,0.5715,0.3,0.65,0.55,0.75,0.8,0.3,1,0.0,1,0.0,0.04999999999999999,0.42000000000000004,0.25,0.25,0.19999999999999996,0.09999999999999998
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,5,4.0,0.81,0.5715,2.0,0.182,0.575,0.48,0.51,1.0,0.57,1.0,0.43,4.0,0.81,0.5715,4.0,0.81,0.5715,0.35,0.6,0.5,0.7,0.75,0.4,1,0.0,0,0.6280097531089784,0.13,0.08999999999999997,0.5,0.13,0.25,0.02999999999999997
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,0.0,6,3.0,0.495,0.575,2.0,0.182,0.575,0.36,0.35,0.89,0.11,1.0,1.0,4.0,0.81,0.5715,4.0,0.81,0.5715,0.35,0.6,0.5,0.7,0.75,0.4,0,0.3150194438443444,0,0.6280097531089784,0.010000000000000009,0.25,0.39,0.59,0.25,0.6
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,1.0,7,2.0,0.25,0.42,5.0,0.735,0.73,0.58,0.4,1.0,0.5,1.0,0.5,2.0,0.25,0.42,2.0,0.25,0.42,0.27,0.29,0.86,0.33,1.0,0.33,1,0.0,0,0.5756083738098327,0.30999999999999994,0.11000000000000004,0.14,0.16999999999999998,0.0,0.16999999999999998
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,1.0,8,3.0,0.745,0.415,3.0,0.745,0.415,0.37,0.4,1.0,0.0,1.0,0.17,2.0,0.25,0.42,2.0,0.25,0.42,0.27,0.29,0.86,0.33,1.0,0.33,0,0.49502525188115404,0,0.49502525188115404,0.09999999999999998,0.11000000000000004,0.14,0.33,0.0,0.16
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,546,1.0,9,2.0,0.25,0.42,1.0,0.1969999999999999,0.1425,0.37,0.28,0.75,0.12,1.0,0.75,3.0,0.745,0.415,3.0,0.745,0.415,0.29,0.3,0.78,0.33,1.0,0.33,0,0.49502525188115404,0,0.612013275999794,0.08000000000000002,0.019999999999999962,0.030000000000000027,0.21000000000000002,0.0,0.42
