slide_id_from_zero;course_name;start_timestamp;end_timestamp;transcript_id;aoi_id;aoi_upper_left_x;aoi_upper_left_y;aoi_lower_right_x;aoi_lower_right_y;aoi_center_x;aoi_center_y;aoi_content
1;2;108.68;115.28;12;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;115.28;120.32;13;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;120.32;126.6;14;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;126.6;130.52;15;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;130.52;134.76;16;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;134.76;144.24;17;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;144.24;155.32;18;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;155.32;163.56;19;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;163.56;169.08;20;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;169.08;173.56;21;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;173.56;179.28;22;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;179.28;184.04;23;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;184.04;188;24;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;188;195.12;25;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;195.12;198.48;26;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
1;2;198.48;205.12;27;1;0.044;0.063;0.5;0.23;0.272;0.1465; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # الخصائص والتصنيفات #.
2;2;205.12;210.06;28;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;210.06;216.52;29;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;216.52;220;30;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;220;226.08;31;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;226.08;232;32;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;232;236.04;33;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;236.04;242.44;34;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;242.44;249.04;35;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;249.04;255.52;36;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;255.52;265.52;37;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;265.52;274.04;38;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;274.04;279;39;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;279;285;40;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;285;288.56;41;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;288.56;298.56;42;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;298.56;307.84;43;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;307.84;312.6;44;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;312.6;316.24;45;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;2;316.24;323.64;46;1;0.045;0.067;0.5;0.227;0.2725;0.147; عنوان باسم # التعلم الموجه # وعنوان فرعي باسم # العلاقة بين الخصائص والتصنيف. #.
2;5;114.811;124.48;13;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;124.48;129.68;14;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;129.68;133.64;15;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;133.64;138.36;16;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;138.36;146.3;17;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;146.3;153.18;18;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;153.18;159.04;19;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;159.04;169.48;20;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;169.48;173.1;21;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;173.1;179.26;22;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
2;5;179.26;188.36;23;3;0.43;0.267;0.89;0.4;0.66;0.3335;احد الوالدين يتحدث الى المعلم قائلا: # هل يمكنني معرفة درجة طفلي؟ #
