course_name;test_type;question_id;question_content;choice_content;correct_answer
1;اختبار لاحق;1;أي مما يلي يمكن أن يصبح من تطبيقات الذكاء الاصطناعي: (1). مرشحات الوجه في منصات التواصل الاجتماعي (2). التعرف على الوجوه (3). التوصية بالمحتوى (4). ترجمة اللغات (5). التعرف على المشاعر (6). الترجمة إلى الإنجليزية;أ: (1)(2)(3)(4)، ب: (1)(2)(3)(4)(5)، ج: (1)(2)(3)(4)(6)، د: (1)(2)(3)(4)(5)(6);د
1;اختبار لاحق;2;يستخدم الذكاء الاصطناعي في مرشحات الوجوه عبر وسائل التواصل الاجتماعي من خلال تحديد [ ] على وجه الشخص.;أ: العيون، ب: النقاط الأساسية، ج: الخطوط الأساسية، د: الأشكال الأساسية;ب
1;اختبار لاحق;3;في خمسينيات القرن الماضي، اقترح [ ] إمكانية وجود “آلة قادرة على التفكير”.;أ: يان لوكون، ب: جيفري هينتون، ج: آلان تورينغ، د: يوشوا بنجيو;ج
1;اختبار لاحق;4;كم مرة حدث ما يعرف بـ“شتاء الذكاء الاصطناعي” خلال الفترة الممتدة من الخمسينيات إلى العقد 2010م (60 سنة)؟;أ: 2، ب: 3، ج: 4، د: 5;أ
1;اختبار لاحق;5;خلال الفترة من الثمانينيات إلى التسعينيات، أسهمت [ ]، تلاها شتاء الذكاء الاصطناعي الثاني، في الوصول إلى النجاح.;أ: الآلات القادرة على التفكير، ب: الأنظمة الخبيرة، ج: تعلم الآلة، د: المساعدون الافتراضيون الرقميون;ب
1;اختبار لاحق;6;من تسعينيات إلى أوائل الألفية، حصل [ ] على مزيد من التطور بفضل التقدم في الموارد الحاسوبية والمكونات المادية.;أ: الأنظمة الخبيرة، ب: تعلم الآلة، ج: المساعدون الافتراضيون الرقميون، د: منصات المحادثة;ب
1;اختبار لاحق;7;أي مما يلي يعد من المساعدين الافتراضيين الرقميين؟ (1). أليكسا  (2). سيري  (3). مساعد غوغل ;أ: (1)(2)(3)، ب: (1)(3)، ج: (2)(3)، د: (1)(2);أ
1;اختبار لاحق;8;أي مما يلي صحيح؟;أ: الصعوبات التي واجهت تقدم الذكاء الاصطناعي في سبعينيات القرن الماضي أدت إلى حدوث شتاء الذكاء الاصطناعي الأول، ب: تطور الذكاء الاصطناعي سريعا حتى خلال شتائه الأول بفضل تطور الموارد الحاسوبية والمكونات المادية القوية. ج: تعمل أنظمة تعلم الآلة ضمن مجال معرفي محدد بدقة وتتبع قواعد منطقية صارمة، د: المساعدون الافتراضيون الرقميون اليوم يمتلكون القدرة نفسها التي يمتلكها البشر;أ
1;اختبار لاحق;9;يمكن الذكاء الاصطناعي الحواسيب من حل المشكلات عبر إجراء [ ] واتخاذ القرارات.;أ: افتراضات ب: تنبؤات ج: ملاحظات د: اختبارات;ب
1;اختبار لاحق;10;يمكن لتعلم الآلة أن يعلم الحواسيب حل المشكلات من خلال التعلم من مجموعات من [ ].;أ: مجموعات البيانات، ب: المشكلات، ج: الحواسيب الأخرى، د: سلوكيات المستخدمين;أ
1;اختبار لاحق;11;أي مما يلي يعد صحيحا في وصف العلاقة بين علوم الحاسوب والذكاء الاصطناعي وتعلم الآلة؟;أ: الذكاء الاصطناعي جزء من تعلم الآلة، وكلاهما جزء من علوم الحاسوب، ب: تعلم الآلة جزء من الذكاء الاصطناعي، وكلاهما جزء من علوم الحاسوب، ج: علوم الحاسوب جزء من تعلم الآلة، وكلاهما جزء من الذكاء الاصطناعي، د: تعلم الآلة مساو للذكاء الاصطناعي، وكلاهما جزء من علوم الحاسوب;ب
1;اختبار لاحق;12;أي مما يلي يُمثّل الأنواع الثلاثة لتعلم الآلة؟;أ: التعلم التمثيلي والتعلم الوصفي والتعلم المعزز، ب: التعلم الموجه والتعلم غير الموجه والتعلم التمثيلي، ج: التعلم المعزز والتعلم الموجه والتعلم غير الموجه، د: هندسة الخصائص والتعلم التبايني والتعلم التمثيلي;ج
2;اختبار لاحق;1;التعلم الموجه يعنى بتعلم [ ] تربط بين [ ] و[ ] بالاعتماد على مجموعة من الأمثلة المزدوجة.;أ: المخرجات - دالة - المدخلات، ب: دالة - المدخلات - المخرجات، ج: المخرجات - المدخلات - دالة، د: المدخلات - دالة - المخرجات;ب
2;اختبار لاحق;2;أي مما يلي صحيح؟;أ: البيانات المصنفة ضرورية في التعلم الموجه، ب: قد تكون البيانات المصنفة اختيارية في التعلم الموجه، ج: تختلف الحاجة إلى البيانات المصنفة بحسب طبيعة المهام في التعلم الموجه، د: لم تذكر المحاضرة أي معلومات عن البيانات المصنفة;أ
2;اختبار لاحق;3;لنفترض أننا سنحدد اسم الفاكهة من صورتها باستخدام التعلم الموجه. أي مما يلي خاطئ؟;أ: تعد الصورة هي المدخل، ب: يعد اسم الفاكهة هو التصنيف، ج: لا تستطيع نماذج التعلم الموجه التنبؤ بصورة لم تشاهد من قبل، د: ستتعلم نماذج التعلم الموجه العلاقة بين الصور وأسماء الفواكه;ج
2;اختبار لاحق;4;أي من المهام التالية لا يعد من مهام التعلم الموجه؟;أ: نظام يتعلم التمييز بين الصور ذات الفئات المعروفة مثل السيارات أو الدراجات، ب: اكتشاف السلوك الشاذ في أداء المحركات بالاعتماد على بيانات كبيرة لسرعة التشغيل، ج: تحديد ما إذا كان مقطع صوتي يعود إلى مستخدم معين باستخدام بيانات تدريب مصنفة، د: التعرف على الأنشطة البشرية اعتمادا على بيانات الحركة وقائمة الأنشطة;ب
2;اختبار لاحق;5;نفترض أننا سنحدد تصنيف فاكهة ما اعتمادا على سماتها. عندها تكون الفئة هي [ ]، وتكون السمات هي [ ].;أ: التصنيف - الخصائص، ب: المدخل - المخرج، ج: المخرج - الدالة، د: التصنيف - الدالة;أ
