reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,0,1.0,0.275,0.15,None,None,None,0.19,0.15,0.6,0.4,1.0,0.0,1.0,0.275,0.15,3.0,0.163,0.645,0.25,0.5,0.5,0.75,0.6,0.1,1,0.0,None,None,0.06,0.35,0.09999999999999998,0.35,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,1,2.0,0.495,0.299,None,None,None,0.16,0.24,0.8,0.8,0.3,0.0,2.0,0.495,0.299,2.0,0.495,0.299,0.25,0.6,0.6,0.8,0.65,0.05,1,0.0,None,None,0.09,0.36,0.20000000000000007,0.0,0.35000000000000003,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,2,4.0,0.495,0.63,None,None,None,0.31,0.26,0.83,0.17,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.25,0.6,0.6,0.8,0.65,0.05,0,0.33233868267175876,None,None,0.06,0.33999999999999997,0.22999999999999998,0.63,0.35,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,3,2.0,0.495,0.299,None,None,None,0.17,0.23,0.92,0.33,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.25,0.65,0.65,0.85,0.7,0.1,0,0.4795205939268928,None,None,0.07999999999999999,0.42000000000000004,0.27,0.52,0.30000000000000004,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,4,4.0,0.495,0.63,None,None,None,0.3,0.24,0.77,0.0,1.0,0.0,4.0,0.495,0.63,4.0,0.495,0.63,0.3,0.7,0.7,0.9,0.75,0.15,1,0.0,None,None,0.0,0.45999999999999996,0.07000000000000006,0.9,0.25,0.15
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,5,1.0,0.275,0.15,None,None,None,0.06,0.08,0.25,0.0,1.0,0.0,5.0,0.605,0.91,5.0,0.605,0.91,0.3,0.75,0.75,0.95,0.8,0.2,0,0.8285529554590944,None,None,0.24,0.67,0.5,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,6,3.0,0.163,0.645,None,None,None,0.11,0.16,0.62,0.5,1.0,0.0,6.0,0.735,0.53,6.0,0.735,0.53,0.3,0.75,0.75,0.95,0.8,0.2,0,0.5834457986822769,None,None,0.19,0.59,0.13,0.44999999999999996,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,7,4.0,0.495,0.63,None,None,None,0.33,0.33,1.0,0.0,1.0,0.0,None,None,None,None,None,None,0.3,0.75,0.75,0.95,0.8,0.2,0,None,None,None,0.030000000000000027,0.42,0.25,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,8,1.0,0.275,0.15,None,None,None,0.43,0.13,1.0,0.09,1.0,0.0,None,None,None,None,None,None,0.3,0.75,0.75,0.95,0.8,0.2,0,None,None,None,0.13,0.62,0.25,0.86,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,9,1.0,0.275,0.15,None,None,None,0.47,0.21,1.0,0.31,0.92,0.0,None,None,None,None,None,None,0.35,0.75,0.75,0.95,0.85,0.25,0,None,None,None,0.12,0.54,0.25,0.6399999999999999,0.07000000000000006,0.25
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,10,4.0,0.495,0.63,None,None,None,0.43,0.33,1.0,0.43,1.0,0.0,None,None,None,None,None,None,0.35,0.8,0.8,0.95,0.9,0.3,0,None,None,None,0.08000000000000002,0.47000000000000003,0.19999999999999996,0.52,0.09999999999999998,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,0.0,11,1.0,0.275,0.15,None,None,None,0.36,0.3,0.9,0.0,1.0,0.0,None,None,None,None,None,None,0.35,0.8,0.8,0.95,0.9,0.3,0,None,None,None,0.010000000000000009,0.5,0.09999999999999998,0.95,0.09999999999999998,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,12,1.0,0.272,0.1465,None,None,None,0.26,0.36,1.0,1.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.03999999999999998,0.39,0.25,0.050000000000000044,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,13,1.0,0.272,0.1465,None,None,None,0.25,0.23,0.83,0.33,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.04999999999999999,0.52,0.07999999999999996,0.6199999999999999,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,14,2.0,0.2965,0.38,None,None,None,0.23,0.23,0.71,0.43,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.06999999999999998,0.52,0.040000000000000036,0.52,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,15,2.0,0.2965,0.38,None,None,None,0.2,0.06,0.75,0.5,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.09999999999999998,0.69,0.0,0.44999999999999996,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,16,2.0,0.2965,0.38,None,None,None,0.29,0.19,0.8,0.8,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.010000000000000009,0.56,0.050000000000000044,0.1499999999999999,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,17,2.0,0.2965,0.38,None,None,None,0.28,0.18,0.8,0.1,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.019999999999999962,0.5700000000000001,0.050000000000000044,0.85,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,18,2.0,0.2965,0.38,None,None,None,0.3,0.31,0.92,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.0,0.44,0.17000000000000004,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,19,2.0,0.2965,0.38,None,None,None,0.29,0.27,0.78,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.354400902933387,None,None,0.010000000000000009,0.48,0.030000000000000027,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,20,1.0,0.272,0.1465,None,None,None,0.47,0.16,1.0,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.16999999999999998,0.59,0.25,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,21,1.0,0.272,0.1465,None,None,None,0.4,0.3,1.0,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.10000000000000003,0.45,0.25,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,22,1.0,0.272,0.1465,None,None,None,0.4,0.37,1.0,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.10000000000000003,0.38,0.25,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,23,1.0,0.272,0.1465,None,None,None,0.36,0.35,1.0,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.06,0.4,0.25,0.95,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,319,1.0,24,1.0,0.272,0.1465,None,None,None,0.22,0.3,1.0,0.0,1.0,0.0,3.0,0.1965,0.72,3.0,0.1965,0.72,0.3,0.75,0.75,0.95,0.8,0.2,0,0.578448355516722,None,None,0.07999999999999999,0.45,0.25,0.95,0.19999999999999996,0.2
