Model,Exp,N,GA,MO,CH,COR
GPT-3.5,Real,301,0.338,0.304,46.9,55.6
GPT-3.5,Sim,300,0.352,0.330,46.6,55.6
GPT-4o Mini,Real,301,0.371,0.327,61.9,66.1
GPT-4o Mini,Sim,300,0.372,0.329,61.1,66.0
Llama 3.1,Real,301,0.355,0.334,45.7,55.7
Llama 3.1,Sim,300,0.369,0.356,45.0,55.4
Qwen2.5,Real,301,0.390,0.348,57.4,62.0
Qwen2.5,Sim,300,0.375,0.338,56.9,61.3
ALLaM S0,Real,300,0.349,0.341,48.6,56.1
ALLaM S0,Sim,8,0.360,0.352,56.2,59.4
ALLaM S1,Real,300,0.353,0.337,47.8,57.8
ALLaM S1,Sim,300,0.355,0.350,47.6,58.2
ALLaM S2,Real,300,0.335,0.298,48.7,58.2
ALLaM S2,Sim,300,0.320,0.286,48.8,58.6
ALLaM S3,Real,300,0.356,0.349,50.8,58.6
ALLaM S3,Sim,300,0.360,0.346,43.4,55.1
