video_id;student_id;age;gender;major;education;attitude;exam;focus;curiosity;interest;priors;compliance;smartness;family;;;;;;;
1;1000;من 25 إلى 31 سنة;ذكر;علوم الصحة والحياة;ماجستير;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1001;من 18 إلى 24 سنة;أنثى;العلوم الاجتماعية;ماجستير;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1002;من 32 إلى 38 سنة;غير ذلك;علوم الصحة والحياة;دكتوراه;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1003;من 18 إلى 24 سنة;أنثى;علوم الصحة والحياة;دكتوراه;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1004;من 18 إلى 24 سنة;ذكر;العلوم الطبيعية;ماجستير;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1005;من 32 إلى 38 سنة;ذكر;العلوم الطبيعية;الثانوية العامة;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1006;من 32 إلى 38 سنة;غير ذلك;العلوم الإنسانية والفنون;طالب جامعي;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1007;أكبر من 39 سنة;غير ذلك;علوم الصحة والحياة;ماجستير;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1008;من 18 إلى 24 سنة;أنثى;العلوم الإنسانية والفنون;دكتوراه;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1009;من 32 إلى 38 سنة;أنثى;العلوم الإنسانية والفنون;طالب جامعي;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1010;من 25 إلى 31 سنة;غير ذلك;الهندسة والتكنولوجيا;دكتوراه;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1011;من 32 إلى 38 سنة;ذكر;العلوم الطبيعية;طالب جامعي;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1012;من 32 إلى 38 سنة;ذكر;الأعمال والاقتصاد;الثانوية العامة;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1013;من 18 إلى 24 سنة;ذكر;الأعمال والاقتصاد;الثانوية العامة;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1014;من 32 إلى 38 سنة;غير ذلك;الأعمال والاقتصاد;طالب جامعي;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1015;من 18 إلى 24 سنة;أنثى;الهندسة والتكنولوجيا;ماجستير;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1016;من 32 إلى 38 سنة;غير ذلك;العلوم الاجتماعية;دكتوراه;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1017;أكبر من 39 سنة;ذكر;العلوم الإنسانية والفنون;دكتوراه;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1018;من 18 إلى 24 سنة;ذكر;العلوم الإنسانية والفنون;ماجستير;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1019;من 32 إلى 38 سنة;ذكر;العلوم الاجتماعية;ماجستير;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1020;من 18 إلى 24 سنة;ذكر;الأعمال والاقتصاد;ماجستير;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1021;من 32 إلى 38 سنة;ذكر;العلوم الطبيعية;ماجستير;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1022;من 18 إلى 24 سنة;أنثى;الهندسة والتكنولوجيا;الثانوية العامة;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1023;من 18 إلى 24 سنة;ذكر;الهندسة والتكنولوجيا;طالب جامعي;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1024;من 18 إلى 24 سنة;ذكر;الهندسة والتكنولوجيا;الثانوية العامة;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1025;من 32 إلى 38 سنة;ذكر;الأعمال والاقتصاد;الثانوية العامة;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;لا يملك أي فضول نحو المقرر;مهتم جدا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1026;من 32 إلى 38 سنة;غير ذلك;الهندسة والتكنولوجيا;الثانوية العامة;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1027;أكبر من 39 سنة;غير ذلك;العلوم الاجتماعية;ماجستير;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1028;من 18 إلى 24 سنة;ذكر;الهندسة والتكنولوجيا;الثانوية العامة;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;عادة مشتت الذهن;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1029;من 32 إلى 38 سنة;غير ذلك;الأعمال والاقتصاد;الثانوية العامة;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;مهتم جدا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;ذكي ويفهم كل شيء بسرعة;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1030;أكبر من 39 سنة;ذكر;العلوم الإنسانية والفنون;طالب جامعي;غير متحمس إطلاقا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1031;من 25 إلى 31 سنة;أنثى;علوم الصحة والحياة;ماجستير;متحمس جدا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;عادة مشتت الذهن;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;يمتلك خلفية قوية ومعرفة سابقة في هذا المقرر;غير راغب ويجد صعوبة في متابعة المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
1;1032;من 18 إلى 24 سنة;أنثى;العلوم الإنسانية والفنون;الثانوية العامة;متحمس جدا;حاصل على معدل منخفض وعادة يخطئ في الاختبار اللاحق;شديد التركيز;لا يملك أي فضول نحو المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان يمتلكان خلفية أكاديمية قوية;;;;;;;
1;1033;من 18 إلى 24 سنة;أنثى;العلوم الإنسانية والفنون;دكتوراه;غير متحمس إطلاقا;حاصل على معدل مرتفع وعادة يجيب عن أسئلة الاختبار اللاحق إجابة صحيحة;شديد التركيز;فضولي لاستكشاف كل ما في المقرر;غير مهتم إطلاقا بالمقرر;لا يمتلك أي خلفية ولا أي معرفة سابقة في هذا المقرر;منضبط ويواكب سرعة تدريس المعلمين;قليل الذكاء ويفهم ببطء;الوالدان غير مهتمان بالتعليم على الإطلاق;;;;;;;
